,築年数,賃料,占有面積
3,15.0,17.99,46.62
4,23.0,6.9,19.47
5,17.0,7.45,18.14
6,16.0,7.7,20.33
7,9.0,8.4,22.8
8,18.0,7.0,18.48
9,26.0,6.6,16.2
10,19.0,6.9,18.88
11,14.0,8.2,23.18
12,16.0,8.9,21.0
13,16.0,7.6,21.53
14,16.0,7.4,20.13
15,19.0,7.5,26.4
16,19.0,7.5,26.4
17,15.0,17.99,46.62
18,15.0,8.3,22.72
19,16.0,9.8,21.0
20,16.0,8.1,20.84
21,16.0,8.9,23.08
22,16.0,8.9,23.08
23,15.0,8.6,23.5
24,10.0,10.0,29.29
25,15.0,8.4,22.68
26,13.0,7.6,21.33
27,4.0,9.85,25.31
28,3.0,10.9,25.43
29,2.0,10.85,25.39
30,0.0,9.7,25.36
31,18.0,9.6,20.35
32,13.0,7.3,22.24
33,0.0,10.3,26.91
34,12.0,11.0,22.91
35,10.0,12.1,35.03
36,13.0,9.15,22.5
37,1.0,9.9,25.5
38,2.0,21.6,38.9
39,18.0,9.5,30.01
40,5.0,9.45,26.4
41,17.0,8.8,21.0
42,11.0,8.8,28.64
43,17.0,8.6,22.17
44,17.0,8.2,20.42
45,5.0,9.0,25.81
46,9.0,9.0,27.54
47,13.0,11.5,25.04
48,23.0,7.2,20.0
49,16.0,7.7,23.53
