date,date,ave_t,max_t,min_t
1997-05-01,1997-05-01,19.2,23.2,15.6
1997-06-01,1997-06-01,22.7,26.6,19.3
1997-07-01,1997-07-01,26.6,30.7,23.4
1997-08-01,1997-08-01,27.0,30.7,23.9
1997-09-01,1997-09-01,22.9,26.4,20.1
1997-10-01,1997-10-01,18.7,22.8,14.8
1997-11-01,1997-11-01,14.3,18.1,11.0
1997-12-01,1997-12-01,9.2,12.4,5.8
1998-01-01,1998-01-01,5.3,9.3,1.9
1998-02-01,1998-02-01,7.0,11.3,3.6
1998-03-01,1998-03-01,10.1,14.4,5.9
1998-04-01,1998-04-01,16.3,20.1,12.9
1998-05-01,1998-05-01,20.5,24.6,16.7
1998-06-01,1998-06-01,21.5,24.6,18.5
1998-07-01,1998-07-01,25.3,29.0,22.6
1998-08-01,1998-08-01,27.2,31.0,24.4
1998-09-01,1998-09-01,24.4,27.7,21.9
1998-10-01,1998-10-01,20.1,23.5,17.1
1998-11-01,1998-11-01,13.9,17.7,10.3
1998-12-01,1998-12-01,9.0,12.6,5.5
1999-01-01,1999-01-01,6.6,10.8,2.5
1999-02-01,1999-02-01,6.7,11.2,2.5
1999-03-01,1999-03-01,10.1,13.7,6.3
1999-04-01,1999-04-01,15.0,18.7,11.5
1999-05-01,1999-05-01,19.9,24.0,16.4
1999-06-01,1999-06-01,22.8,26.5,19.8
1999-07-01,1999-07-01,25.9,29.9,23.0
1999-08-01,1999-08-01,28.5,32.3,25.8
1999-09-01,1999-09-01,26.2,29.6,23.3
1999-10-01,1999-10-01,19.5,23.0,16.1
1999-11-01,1999-11-01,14.2,17.8,10.7
1999-12-01,1999-12-01,9.0,12.7,5.1
2000-01-01,2000-01-01,7.6,11.2,4.2
2000-02-01,2000-02-01,6.0,9.9,2.4
2000-03-01,2000-03-01,9.4,13.5,5.2
2000-04-01,2000-04-01,14.5,18.7,10.7
2000-05-01,2000-05-01,19.8,24.0,16.5
2000-06-01,2000-06-01,22.5,26.1,19.5
2000-07-01,2000-07-01,27.7,31.6,24.5
2000-08-01,2000-08-01,28.3,32.4,25.4
2000-09-01,2000-09-01,25.6,28.9,22.7
2000-10-01,2000-10-01,18.8,21.9,16.2
2000-11-01,2000-11-01,13.3,16.7,10.5
2000-12-01,2000-12-01,8.8,12.6,5.2
2001-01-01,2001-01-01,4.9,8.6,1.7
2001-02-01,2001-02-01,6.6,10.7,2.8
2001-03-01,2001-03-01,9.8,14.4,5.7
2001-04-01,2001-04-01,15.7,20.4,11.3
2001-05-01,2001-05-01,19.5,23.0,16.4
2001-06-01,2001-06-01,23.1,26.6,20.3
2001-07-01,2001-07-01,28.5,33.0,25.2
2001-08-01,2001-08-01,26.4,30.0,23.6
2001-09-01,2001-09-01,23.2,26.4,20.4
2001-10-01,2001-10-01,18.7,22.5,15.5
2001-11-01,2001-11-01,13.1,16.7,9.5
2001-12-01,2001-12-01,8.4,12.0,4.9
2002-01-01,2002-01-01,7.4,11.5,3.4
2002-02-01,2002-02-01,7.9,11.9,4.4
2002-03-01,2002-03-01,12.2,16.5,8.1
2002-04-01,2002-04-01,16.1,20.3,12.4
2002-05-01,2002-05-01,18.4,22.3,15.3
2002-06-01,2002-06-01,21.6,25.3,18.6
2002-07-01,2002-07-01,28.0,31.7,25.1
2002-08-01,2002-08-01,28.0,32.1,24.8
2002-09-01,2002-09-01,23.1,26.2,20.4
2002-10-01,2002-10-01,19.0,22.6,15.5
2002-11-01,2002-11-01,11.6,15.2,8.2
2002-12-01,2002-12-01,7.2,10.4,4.1
2003-01-01,2003-01-01,5.5,9.3,2.0
2003-02-01,2003-02-01,6.4,9.9,3.2
2003-03-01,2003-03-01,8.7,12.7,5.1
2003-04-01,2003-04-01,15.1,19.2,11.5
2003-05-01,2003-05-01,18.8,22.4,15.5
2003-06-01,2003-06-01,23.2,26.6,20.2
2003-07-01,2003-07-01,22.8,26.0,20.1
2003-08-01,2003-08-01,26.0,29.5,23.1
2003-09-01,2003-09-01,24.2,28.1,21.0
2003-10-01,2003-10-01,17.8,21.4,14.6
2003-11-01,2003-11-01,14.4,17.4,11.5
2003-12-01,2003-12-01,9.2,13.2,5.7
2004-01-01,2004-01-01,6.3,10.1,3.1
2004-02-01,2004-02-01,8.5,12.9,4.3
2004-03-01,2004-03-01,9.8,14.0,5.7
2004-04-01,2004-04-01,16.4,21.3,11.7
2004-05-01,2004-05-01,19.6,23.7,16.1
2004-06-01,2004-06-01,23.7,27.5,20.3
2004-07-01,2004-07-01,28.5,33.1,25.0
2004-08-01,2004-08-01,27.2,31.0,24.1
2004-09-01,2004-09-01,25.1,28.7,22.2
2004-10-01,2004-10-01,17.5,20.7,14.8
2004-11-01,2004-11-01,15.6,19.0,12.7
2004-12-01,2004-12-01,9.9,13.4,6.6
2005-01-01,2005-01-01,6.1,10.0,2.6
2005-02-01,2005-02-01,6.2,9.9,2.5
2005-03-01,2005-03-01,9.0,13.1,5.0
2005-04-01,2005-04-01,15.1,19.6,10.7
2005-05-01,2005-05-01,17.7,21.9,14.1
2005-06-01,2005-06-01,23.2,26.7,20.2
2005-07-01,2005-07-01,25.6,29.1,22.6
2005-08-01,2005-08-01,28.1,31.8,25.1
2005-09-01,2005-09-01,24.7,28.2,21.8
2005-10-01,2005-10-01,19.2,22.3,16.6
2005-11-01,2005-11-01,13.3,17.0,9.6
2005-12-01,2005-12-01,6.4,10.2,2.9
2006-01-01,2006-01-01,5.1,8.5,2.0
2006-02-01,2006-02-01,6.7,10.5,3.3
2006-03-01,2006-03-01,9.8,14.0,5.9
2006-04-01,2006-04-01,13.6,17.5,10.1
2006-05-01,2006-05-01,19.0,22.7,15.7
2006-06-01,2006-06-01,22.5,25.4,20.1
2006-07-01,2006-07-01,25.6,28.6,23.3
2006-08-01,2006-08-01,27.5,31.1,24.8
2006-09-01,2006-09-01,23.5,27.1,20.7
2006-10-01,2006-10-01,19.5,22.9,16.7
2006-11-01,2006-11-01,14.4,17.9,11.0
2006-12-01,2006-12-01,9.5,12.5,6.7
2007-01-01,2007-01-01,7.6,10.9,4.6
2007-02-01,2007-02-01,8.6,12.8,5.0
2007-03-01,2007-03-01,10.8,15.0,6.8
2007-04-01,2007-04-01,13.7,17.9,9.9
2007-05-01,2007-05-01,19.8,24.0,16.0
